name,ID,ALIGN,SEX,ALIVE,Universe
Raymond Terrill (New Earth),Secret Identity,Good,Male,Living,DC
Adam Blake (New Earth),Public Identity,Good,Male,Living,DC
Jack Ryder (New Earth),Secret Identity,Good,Male,Living,DC
Justin Arthur (New Earth),Secret Identity,Good,Male,Living,DC
Max Mercury (New Earth),Secret Identity,Good,Male,Living,DC
Abigail Arcane (New Earth),Public Identity,Good,Female,Living,DC
Thomas Haukins (New Earth),Secret Identity,Good,Male,Deceased,DC
Waylon Jones (New Earth),Public Identity,Bad,Male,Living,DC
Travis Morgan (New Earth),Public Identity,Good,Male,Deceased,DC
Gorilla Grodd (New Earth),Public Identity,Bad,Male,Living,DC
Talia al Ghul (New Earth),Secret Identity,Bad,Female,Deceased,DC
Patrick Dugan (New Earth),Secret Identity,Good,Male,Living,DC
Daniel Cassidy (New Earth),Secret Identity,Good,Male,Living,DC
James Harper Clone (New Earth),Public Identity,Good,Male,Living,DC
Thomas Kalmaku (New Earth),Public Identity,Good,Male,Living,DC
Gabrielle Doe (New Earth),Secret Identity,Good,Female,Living,DC
Henry Hall (New Earth),Secret Identity,Good,Male,Living,DC
Connor Hawke (New Earth),Secret Identity,Good,Male,Living,DC
Cyrus Gold (New Earth),Secret Identity,Bad,Male,Deceased,DC
Arisia Rrab (New Earth),Public Identity,Good,Female,Living,DC
Robert Crane (New Earth),Secret Identity,Good,Male,Living,DC
William Magnus (New Earth),Public Identity,Good,Male,Living,DC
Mary Batson (New Earth),Secret Identity,Good,Female,Living,DC
Jean Loring (New Earth),Public Identity,Bad,Female,Deceased,DC
Grant Emerson (New Earth),Public Identity,Good,Male,Deceased,DC
Rita Farr (New Earth),Secret Identity,Good,Female,Living,DC
Jason Rusch (New Earth),Secret Identity,Good,Male,Living,DC
Hector Hall (New Earth),Secret Identity,Good,Male,Deceased,DC
Mercury (New Earth),Secret Identity,Good,Male,Living,DC
Jaime Reyes (New Earth),Secret Identity,Good,Male,Living,DC
Platinum (New Earth),Secret Identity,Good,Female,Living,DC
Andre Chavard (New Earth),Public Identity,Good,Male,Living,DC
Daniel Leong (New Earth),Secret Identity,Good,Male,Deceased,DC
Vril Dox II (New Earth),Public Identity,Good,Male,Living,DC
"Roy Raymond, Sr. (New Earth)",Public Identity,Good,Male,Living,DC
Iron (New Earth),Secret Identity,Good,Male,Living,DC
Lead (New Earth),Secret Identity,Good,Male,Living,DC
Hartley Rathaway (New Earth),Secret Identity,Good,Male,Living,DC
Lana Lang (New Earth),Public Identity,Good,Female,Living,DC
Rose Wilson (New Earth),Secret Identity,Good,Female,Living,DC
DeSaad (New Earth),Public Identity,Bad,Male,Living,DC
Charles Taine (Pre-Zero Hour),Secret Identity,Good,Male,Living,DC
Bane (New Earth),Secret Identity,Bad,Male,Living,DC
Salakk (New Earth),Secret Identity,Good,Male,Living,DC
Tin (New Earth),Secret Identity,Good,Male,Living,DC
Samuel Morgan (New Earth),Identity Unknown,Good,Male,Deceased,DC
Harleen Quinzel (New Earth),Public Identity,Bad,Female,Living,DC
Mark Mardon (New Earth),Secret Identity,Bad,Male,Living,DC
Catherine Grant (New Earth),Public Identity,Good,Female,Living,DC
Terrence Sloane (New Earth),Secret Identity,Good,Male,Deceased,DC
Jason Blood (New Earth),Public Identity,Good,Male,Living,DC
Gold (New Earth),Secret Identity,Good,Male,Living,DC
Victor Fries (New Earth),Secret Identity,Bad,Male,Living,DC
Thomas Wayne (New Earth),Public Identity,Good,Male,Deceased,DC
Arthur Light (New Earth),Public Identity,Bad,Male,Deceased,DC
Lester Davis (New Earth),Public Identity,Good,Male,Living,DC
Artemis of Bana-Mighdall (New Earth),Public Identity,Good,Female,Living,DC
Alanna Strange (New Earth),Public Identity,Good,Female,Living,DC
Nuidis Vulko (New Earth),Public Identity,Good,Male,Living,DC
Steven Dayton (New Earth),Secret Identity,Good,Male,Living,DC
Lee Travis (New Earth),Secret Identity,Good,Male,Deceased,DC
Martin Stein (New Earth),Secret Identity,Good,Male,Deceased,DC
Tubby Watts (New Earth),Identity Unknown,Good,Male,Living,DC
Unknown Soldier I (New Earth),Secret Identity,Good,Male,Deceased,DC
Cynthia Reynolds (New Earth),Secret Identity,Good,Female,Living,DC
Victoria Vale (New Earth),Public Identity,Good,Female,Living,DC
Lucius Fox (New Earth),Public Identity,Good,Male,Living,DC
Ganthet (New Earth),Public Identity,Good,Male,Living,DC
Izaya (New Earth),Public Identity,Good,Male,Deceased,DC
Rory Regan (New Earth),Secret Identity,Good,Male,Living,DC
Eclipso (New Earth),Secret Identity,Bad,Male,Living,DC
Kyle Morgan (New Earth),Public Identity,Good,Male,Living,DC
Matthew Ryan (New Earth),Public Identity,Good,Male,Living,DC
Dinah Drake (New Earth),Secret Identity,Good,Female,Deceased,DC
Sargent Steel (New Earth),Public Identity,Good,Male,Living,DC
Victory (New Earth),Identity Unknown,Good,Male,Living,DC
Katma Tui (New Earth),Public Identity,Good,Female,Deceased,DC
Walter Haley (New Earth),Public Identity,Good,Male,Living,DC
Charles Victor Szasz (New Earth),Secret Identity,Good,Male,Deceased,DC
Ares (New Earth),Public Identity,Bad,Male,Living,DC
Rip Carter (New Earth),Public Identity,Good,Male,Living,DC
Eradicator (New Earth),Public Identity,Good,Male,Deceased,DC
Emil Hamilton (New Earth),Public Identity,Bad,Male,Living,DC
Frederick Freeman (New Earth),Secret Identity,Good,Male,Living,DC
Katar Hol (New Earth),Secret Identity,Good,Male,Living,DC
Maxima (New Earth),Public Identity,Good,Female,Deceased,DC
Dawn Granger (New Earth),Secret Identity,Good,Female,Living,DC
Inza Cramer (New Earth),Secret Identity,Good,Female,Deceased,DC
Linda Danvers (New Earth),Secret Identity,Good,Female,Living,DC
Dubbilex (New Earth),Public Identity,Good,Male,Living,DC
Gunner MacKay (New Earth),Public Identity,Good,Male,Deceased,DC
Antonia Monetti (New Earth),Secret Identity,Good,Female,Living,DC
Jack Knight (New Earth),Public Identity,Good,Male,Living,DC
Skeets (New Earth),Public Identity,Good,Male,Living,DC
Nimue Inwudu (New Earth),Public Identity,Good,Female,Living,DC
Khaji Da (New Earth),Secret Identity,Good,Unknown,Living,DC
Sarge Clay (New Earth),Public Identity,Good,Male,Deceased,DC
Crispus Allen (New Earth),Secret Identity,Good,Male,Deceased,DC
Evan McCulloch (New Earth),Secret Identity,Bad,Male,Living,DC
Terrence Long (New Earth),Public Identity,Good,Male,Deceased,DC
Strata (New Earth),Public Identity,Good,Female,Living,DC
Granny Goodness (New Earth),Public Identity,Bad,Female,Deceased,DC
Dolphin (New Earth),Identity Unknown,Good,Female,Deceased,DC
Holly Robinson (New Earth),Secret Identity,Good,Female,Living,DC
Martha Kane (New Earth),Public Identity,Good,Female,Deceased,DC
Jason Woodrue (New Earth),Public Identity,Bad,Male,Living,DC
John Sargent (New Earth),Secret Identity,Good,Male,Deceased,DC
Dian Belmont (New Earth),Public Identity,Good,Female,Deceased,DC
Edward Bloomberg (New Earth),Secret Identity,Good,Male,Deceased,DC
Leslie Thompkins (New Earth),Public Identity,Good,Female,Living,DC
Tara Markov (Team Titans),Secret Identity,Good,Female,Deceased,DC
Dmitri Pushkin (New Earth),Secret Identity,Good,Male,Deceased,DC
June Moone (New Earth),Secret Identity,Good,Female,Living,DC
Mia Dearden (New Earth),Secret Identity,Good,Female,Living,DC
Krypto (New Earth),Secret Identity,Good,Male,Living,DC
Ohiyesa I (New Earth),Public Identity,Good,Male,Living,DC
Donald Richards (New Earth),Secret Identity,Good,Male,Deceased,DC
Zauriel (New Earth),Public Identity,Good,Male,Living,DC
Leonid Kovar (New Earth),Secret Identity,Good,Male,Living,DC
Emily Briggs (New Earth),Public Identity,Good,Female,Living,DC
Lilith Clay (New Earth),Secret Identity,Good,Female,Deceased,DC
Thomas Tresser (New Earth),Secret Identity,Good,Male,Living,DC
Hans von Hammer (New Earth),Public Identity,Good,Male,Living,DC
William Polk (New Earth),Secret Identity,Good,Male,Living,DC
Lyla Michaels (New Earth),Public Identity,Good,Female,Deceased,DC
Bruce Gordon (New Earth),Public Identity,Good,Male,Living,DC
Sugar Plumm (New Earth),Identity Unknown,Good,Female,Living,DC
Jervis Tetch (New Earth),Secret Identity,Bad,Male,Living,DC
Enya Wazzo (New Earth),Secret Identity,Good,Female,Living,DC
Zinda Blake (New Earth),Secret Identity,Good,Female,Living,DC
Cecil Wilson (New Earth),Identity Unknown,Good,Male,Living,DC
Sarah Essen (New Earth),Public Identity,Good,Female,Deceased,DC
Jade Nguyen (New Earth),Secret Identity,Bad,Female,Living,DC
Wing How (New Earth),Secret Identity,Good,Male,Living,DC
Jack Drake (New Earth),Identity Unknown,Good,Male,Deceased,DC
Vril Dox I (New Earth),Secret Identity,Bad,Male,Living,DC
Adolf Hitler (New Earth),Public Identity,Bad,Male,Deceased,DC
Grace Choi (New Earth),Secret Identity,Good,Female,Living,DC
Natasha Irons (New Earth),Public Identity,Good,Female,Living,DC
Katherine Spencer (New Earth),Secret Identity,Good,Female,Living,DC
Stealth (New Earth),Secret Identity,Good,Female,Deceased,DC
Lorraine Reilly (New Earth),Secret Identity,Good,Female,Living,DC
Noah Kuttler (New Earth),Public Identity,Bad,Male,Living,DC
Despero (New Earth),Public Identity,Bad,Male,Living,DC
Jan Haasan (New Earth),Public Identity,Good,Male,Living,DC
Tef\u00e9 Holland (New Earth),Identity Unknown,Bad,Female,Living,DC
Hippolyta Trevor (New Earth),Secret Identity,Good,Female,Deceased,DC
Jeffrey Franklin Burr (New Earth),Secret Identity,Bad,Male,Deceased,DC
Henry Henshaw (New Earth),Secret Identity,Bad,Male,Living,DC
Charles Dickles (New Earth),Public Identity,Good,Male,Living,DC
Maxine Hunkel (New Earth),Secret Identity,Good,Female,Living,DC
Wade Eiling (New Earth),Public Identity,Bad,Male,Living,DC
Black Manta (New Earth),Secret Identity,Bad,Male,Living,DC
Felix Faust (New Earth),Secret Identity,Bad,Male,Living,DC
Virgil Hawkins (Dakotaverse),Secret Identity,Good,Male,Living,DC
James Harper (New Earth),Public Identity,Good,Male,Deceased,DC
Soranik Natu (New Earth),Public Identity,Good,Female,Living,DC
Anissa Pierce (New Earth),Secret Identity,Good,Female,Living,DC
Roman Sionis (New Earth),Public Identity,Bad,Male,Deceased,DC
"Henry King, Jr. (New Earth)",Public Identity,Good,Male,Living,DC
Orm Marius (New Earth),Secret Identity,Bad,Male,Living,DC
Citizen Abra (New Earth),Secret Identity,Bad,Male,Living,DC
Abin Sur (New Earth),Public Identity,Good,Male,Deceased,DC
William Payton (New Earth),Secret Identity,Good,Male,Deceased,DC
Danette Reilly (New Earth),Secret Identity,Good,Female,Living,DC
Jonathan Tane (New Earth),Secret Identity,Good,Male,Deceased,DC
Ronald Troupe (New Earth),Public Identity,Good,Male,Living,DC
William Storm (New Earth),Public Identity,Good,Male,Deceased,DC
Timothy Hunter (New Earth),Public Identity,Good,Male,Living,DC
Taghurrhu (New Earth),Public Identity,Good,Male,Living,DC
Eobard Thawne (New Earth),Secret Identity,Bad,Male,Deceased,DC
William Zard (New Earth),Public Identity,Bad,Male,Living,DC
Arnold Wesker (New Earth),Public Identity,Bad,Male,Deceased,DC
Philippus (New Earth),Public Identity,Good,Female,Living,DC
Miriam Delgado (Team Titans),Secret Identity,Good,Female,Living,DC
Mikaal Tomas (New Earth),Secret Identity,Good,Male,Living,DC
Peter Ross (New Earth),Public Identity,Good,Male,Living,DC
Matthew Tyler (New Earth),Public Identity,Good,Male,Deceased,DC
Suzanne King-Jones (New Earth),Secret Identity,Good,Female,Living,DC
Rosabelle Mendez (New Earth),Secret Identity,Good,Unknown,Deceased,DC
Sardath (New Earth),Public Identity,Good,Male,Living,DC
Shayera Thal (New Earth),Secret Identity,Good,Female,Deceased,DC
Mallah (New Earth),Secret Identity,Bad,Male,Deceased,DC
Congorilla (New Earth),Public Identity,Good,Male,Living,DC
Thomas Elliot (New Earth),Secret Identity,Bad,Male,Living,DC
Greta Hayes (New Earth),Secret Identity,Good,Female,Living,DC
Parallax (New Earth),Secret Identity,Bad,Unknown,Living,DC
Julia Deneiros (New Earth),Public Identity,Good,Female,Living,DC
Etta Candy (New Earth),Public Identity,Good,Female,Living,DC
Thomas Bronson (New Earth),Secret Identity,Good,Male,Living,DC
Karen Beecher (New Earth),Secret Identity,Good,Female,Living,DC
Ellen Frazier (New Earth),Public Identity,Good,Female,Living,DC
Simon Stagg (New Earth),Public Identity,Bad,Male,Living,DC
"Rex, the Wonder Dog (New Earth)",Public Identity,Good,Male,Living,DC
Isamot Kol (New Earth),Secret Identity,Good,Male,Living,DC
Thomas Monaghan (New Earth),Public Identity,Good,Male,Deceased,DC
Tomar-Tu (New Earth),Secret Identity,Good,Male,Living,DC
Kalibak (New Earth),Public Identity,Bad,Male,Deceased,DC
Drury Walker (New Earth),Secret Identity,Bad,Male,Deceased,DC
Terrence Thirteen (New Earth),Public Identity,Good,Male,Living,DC
Hannibal Hawkes (New Earth),Secret Identity,Good,Male,Living,DC
Circe (New Earth),Public Identity,Bad,Female,Living,DC
Baran Flinders (New Earth),Public Identity,Bad,Male,Living,DC
Mark Shaw (New Earth),Public Identity,Good,Male,Living,DC
Neal Emerson (New Earth),Secret Identity,Bad,Male,Deceased,DC
Cameron Chase (New Earth),Secret Identity,Good,Female,Living,DC
John Corben (New Earth),Secret Identity,Bad,Male,Living,DC
Vanessa Kapatelis (New Earth),Identity Unknown,Good,Female,Living,DC
Lian Harper (New Earth),Public Identity,Good,Female,Deceased,DC
Malcolm Duncan (New Earth),Secret Identity,Good,Male,Living,DC
Samuel Scudder (New Earth),Secret Identity,Bad,Male,Deceased,DC
Sasha Bordeaux (New Earth),Secret Identity,Good,Female,Living,DC
L-Ron (New Earth),Public Identity,Good,Male,Living,DC
Rudolph Jones (New Earth),Secret Identity,Bad,Male,Living,DC
Valentina Vostok (New Earth),Secret Identity,Good,Female,Deceased,DC
Paul Booker (New Earth),Secret Identity,Good,Male,Deceased,DC
Abigail Hunkel (New Earth),Secret Identity,Good,Female,Living,DC
Cyril Saunders (New Earth),Public Identity,Good,Male,Living,DC
Owen Mercer (New Earth),Secret Identity,Reformed Criminals,Male,Deceased,DC
Christopher Smith (New Earth),Public Identity,Good,Male,Living,DC
Roger Hayden (New Earth),Secret Identity,Bad,Male,Deceased,DC
Hector Hammond (New Earth),Public Identity,Bad,Male,Living,DC
Lorena Marquez (New Earth),Secret Identity,Good,Female,Living,DC
Boodikka (New Earth),Public Identity,Good,Female,Deceased,DC
Samuel Lane (New Earth),Public Identity,Bad,Male,Deceased,DC
"Thaddeus Sivana, Sr. (New Earth)",Public Identity,Bad,Male,Living,DC
Lashina (New Earth),Secret Identity,Bad,Female,Living,DC
Brain (New Earth),Secret Identity,Bad,Male,Living,DC
Curtis Metcalf (Dakotaverse),Secret Identity,Good,Male,Living,DC
Brik (New Earth),Secret Identity,Good,Female,Living,DC
Java (New Earth),Public Identity,Bad,Male,Living,DC
Horace Canfield (New Earth),Public Identity,Good,Male,Living,DC
Captain Harding (New Earth),Public Identity,Good,Male,Living,DC
Helena Sandsmark (New Earth),Public Identity,Good,Female,Living,DC
Sarah Charles (New Earth),Public Identity,Good,Female,Living,DC
Tomar-Re (New Earth),Secret Identity,Good,Male,Deceased,DC
"Richard Flag, Jr. (New Earth)",Secret Identity,Good,Male,Living,DC
Nathaniel Heywood (New Earth),Secret Identity,Good,Male,Living,DC
Hugh Dawkins (New Earth),Secret Identity,Good,Male,Living,DC
Starro (New Earth),Identity Unknown,Bad,Male,Living,DC
Topo (New Earth),Identity Unknown,Good,Male,Living,DC
Winslow Schott (New Earth),Public Identity,Bad,Male,Living,DC
Neron (New Earth),Secret Identity,Bad,Male,Living,DC
Victor Zsasz (New Earth),Public Identity,Bad,Male,Living,DC
Kay Challis (New Earth),Public Identity,Good,Female,Living,DC
Roland Desmond (New Earth),Public Identity,Bad,Male,Deceased,DC
Carl Sands (New Earth),Secret Identity,Bad,Male,Living,DC
Dane Dorrance (New Earth),Public Identity,Good,Male,Living,DC
Flying Cloud (New Earth),Public Identity,Good,Male,Deceased,DC
"Peter Merkel, Jr. (New Earth)",Secret Identity,Bad,Male,Living,DC
Garryn Bek (New Earth),Public Identity,Good,Male,Living,DC
Jose Delgado (New Earth),Secret Identity,Good,Male,Living,DC
Mogo (New Earth),Public Identity,Good,Male,Living,DC
Cain (New Earth),Public Identity,Bad,Male,Living,DC
Steven Trevor (New Earth),Public Identity,Good,Male,Living,DC
Edgar Cizko (New Earth),Secret Identity,Bad,Male,Living,DC
Louise Lincoln (New Earth),Public Identity,Bad,Female,Living,DC
Brian Savage (New Earth),Public Identity,Good,Male,Deceased,DC
Thomas Oscar Morrow (New Earth),Public Identity,Bad,Male,Living,DC
Amazo (New Earth),Public Identity,Bad,Male,Living,DC
Kingsley Faraday (New Earth),Public Identity,Good,Male,Living,DC
Clifford Zmeck (New Earth),Secret Identity,Bad,Male,Living,DC
Nabu (New Earth),Public Identity,Good,Male,Deceased,DC
Hannu (New Earth),Public Identity,Good,Male,Living,DC
Catherine Cobert (New Earth),Identity Unknown,Good,Female,Living,DC
Harry Stein (New Earth),Public Identity,Good,Male,Living,DC
Tara Markov (New Earth),Secret Identity,Bad,Female,Deceased,DC
Shakira (New Earth),Public Identity,Good,Female,Living,DC
Tara Morgan (New Earth),Public Identity,Good,Female,Living,DC
Hop Harrigan (New Earth),Public Identity,Good,Male,Living,DC
Sonia Sato (New Earth),Secret Identity,Good,Female,Living,DC
Vath Sarn (New Earth),Public Identity,Good,Male,Living,DC
Mercy Graves (New Earth),Public Identity,Bad,Female,Living,DC
Arnold Munro (New Earth),Public Identity,Good,Male,Living,DC
Bibbo Bibbowski (New Earth),Public Identity,Good,Male,Living,DC
Jebediah of Canaan (New Earth),Secret Identity,Good,Male,Living,DC
Lawrence Bolatinsky (New Earth),Secret Identity,Bad,Male,Deceased,DC
Lydea Mallor (New Earth),Public Identity,Good,Female,Living,DC
Tana Moon (New Earth),Public Identity,Good,Female,Deceased,DC
Maxine Baker (New Earth),Public Identity,Good,Female,Living,DC
Jason Bard (New Earth),Public Identity,Good,Male,Living,DC
Krona (New Earth),Public Identity,Bad,Male,Deceased,DC
Daniel Dunbar (New Earth),Secret Identity,Good,Male,Living,DC
Scandal Savage (New Earth),Secret Identity,Bad,Female,Living,DC
Mackenzie Bock (New Earth),Public Identity,Good,Male,Living,DC
Jeremiah Arkham (New Earth),Public Identity,Bad,Male,Living,DC
Amon Hakk (New Earth),Public Identity,Good,Male,Living,DC
Garv (New Earth),Public Identity,Good,Male,Living,DC
Kent V. Nelson (New Earth),Secret Identity,Good,Male,Living,DC
Janos Prohaska (New Earth),Public Identity,Good,Male,Living,DC
Edward Fyers (New Earth),Public Identity,Good,Male,Living,DC
Jor-El (New Earth),Public Identity,Good,Male,Deceased,DC
Yolanda Montez (New Earth),Secret Identity,Good,Female,Deceased,DC
William Hand (New Earth),Secret Identity,Bad,Male,Living,DC
Molly Mayne (New Earth),Secret Identity,Good,Female,Living,DC
Scribbly Jibbet (New Earth),Public Identity,Good,Male,Living,DC
Amy Winston (New Earth),Secret Identity,Good,Female,Living,DC
Charis-Nar (New Earth),Secret Identity,Good,Male,Living,DC
Pooch (New Earth),Public Identity,Good,Male,Deceased,DC
Tex (New Earth),Public Identity,Good,Male,Living,DC
Clifford DeVoe (New Earth),Secret Identity,Bad,Male,Deceased,DC
Mark Merlin (New Earth),Public Identity,Good,Male,Deceased,DC
Garfield Lynns (New Earth),Secret Identity,Bad,Male,Living,DC
Nanaue (New Earth),Secret Identity,Bad,Male,Living,DC
Emil LaSalle (New Earth),Secret Identity,Bad,Male,Deceased,DC
Clifford Carmichael (New Earth),Secret Identity,Bad,Male,Deceased,DC
Morgaine le Fey (New Earth),Public Identity,Bad,Female,Living,DC
Francine Lee (New Earth),Public Identity,Good,Female,Living,DC
Per Degaton (New Earth),Secret Identity,Bad,Male,Living,DC
Roxanne Leech (New Earth),Public Identity,Good,Female,Living,DC
Paco Ramone (New Earth),Public Identity,Good,Male,Deceased,DC
Bette Sans Souci (New Earth),Secret Identity,Bad,Female,Living,DC
Martha Roberts (New Earth),Secret Identity,Good,Female,Deceased,DC
Ferrin Colos (New Earth),Public Identity,Good,Male,Deceased,DC
Angela Hawkins III (New Earth),Secret Identity,Bad,Female,Living,DC
Pren (New Earth),Secret Identity,Good,Male,Deceased,DC
Simon Jones (New Earth),Public Identity,Bad,Male,Deceased,DC
Arthur Brown (New Earth),Identity Unknown,Bad,Male,Living,DC
Richard Starr (New Earth),Secret Identity,Good,Male,Living,DC
Langford Terrill (New Earth),Secret Identity,Good,Male,Living,DC
Ryan Kendall (New Earth),Secret Identity,Good,Male,Deceased,DC
Cameron Mahkent (New Earth),Secret Identity,Bad,Male,Living,DC
Irwin Schwab (New Earth),Secret Identity,Good,Male,Living,DC
Trigon (New Earth),Public Identity,Bad,Male,Living,DC
James Rook (New Earth),Secret Identity,Good,Male,Living,DC
Chemo (New Earth),Public Identity,Bad,Unknown,Living,DC
Roscoe Dillon (New Earth),Secret Identity,Bad,Male,Deceased,DC
Ronald Reagan (New Earth),Public Identity,Good,Male,Living,DC
Jonathan Gabrielli I (New Earth),Public Identity,Good,Male,Deceased,DC
Anita Fite (New Earth),Secret Identity,Good,Female,Living,DC
Arak Red-Hand (New Earth),Public Identity,Good,Male,Deceased,DC
